 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation
CN0100100000000,1,1,"Autauga County, AL"
CN0100300000000,1,3,"Baldwin County, AL"
CN0100500000000,1,5,"Barbour County, AL"
CN0100700000000,1,7,"Bibb County, AL"
CN0100900000000,1,9,"Blount County, AL"
CN0101100000000,1,11,"Bullock County, AL"
CN0101300000000,1,13,"Butler County, AL"
CN0101500000000,1,15,"Calhoun County, AL"
CN0101700000000,1,17,"Chambers County, AL"
CN0101900000000,1,19,"Cherokee County, AL"
CN0102100000000,1,21,"Chilton County, AL"
CN0102300000000,1,23,"Choctaw County, AL"
CN0102500000000,1,25,"Clarke County, AL"
CN0102700000000,1,27,"Clay County, AL"
CN0102900000000,1,29,"Cleburne County, AL"
CN0103100000000,1,31,"Coffee County, AL"
CN0103300000000,1,33,"Colbert County, AL"
CN0103500000000,1,35,"Conecuh County, AL"
CN0103700000000,1,37,"Coosa County, AL"
CN0103900000000,1,39,"Covington County, AL"
CN0104100000000,1,41,"Crenshaw County, AL"
CN0104300000000,1,43,"Cullman County, AL"
CN0104500000000,1,45,"Dale County, AL"
CN0104700000000,1,47,"Dallas County, AL"
CN0104900000000,1,49,"DeKalb County, AL"
CN0105100000000,1,51,"Elmore County, AL"
CN0105300000000,1,53,"Escambia County, AL"
CN0105500000000,1,55,"Etowah County, AL"
CN0105700000000,1,57,"Fayette County, AL"
CN0105900000000,1,59,"Franklin County, AL"
CN0106100000000,1,61,"Geneva County, AL"
CN0106300000000,1,63,"Greene County, AL"
CN0106500000000,1,65,"Hale County, AL"
CN0106700000000,1,67,"Henry County, AL"
CN0106900000000,1,69,"Houston County, AL"
CN0107100000000,1,71,"Jackson County, AL"
CN0107300000000,1,73,"Jefferson County, AL"
CN0107500000000,1,75,"Lamar County, AL"
CN0107700000000,1,77,"Lauderdale County, AL"
CN0107900000000,1,79,"Lawrence County, AL"
CN0108100000000,1,81,"Lee County, AL"
CN0108300000000,1,83,"Limestone County, AL"
CN0108500000000,1,85,"Lowndes County, AL"
CN0108700000000,1,87,"Macon County, AL"
CN0108900000000,1,89,"Madison County, AL"
CN0109100000000,1,91,"Marengo County, AL"
CN0109300000000,1,93,"Marion County, AL"
CN0109500000000,1,95,"Marshall County, AL"
CN0109700000000,1,97,"Mobile County, AL"
CN0109900000000,1,99,"Monroe County, AL"
CN0110100000000,1,101,"Montgomery County, AL"
CN0110300000000,1,103,"Morgan County, AL"
CN0110500000000,1,105,"Perry County, AL"
CN0110700000000,1,107,"Pickens County, AL"
CN0110900000000,1,109,"Pike County, AL"
CN0111100000000,1,111,"Randolph County, AL"
CN0111300000000,1,113,"Russell County, AL"
CN0111500000000,1,115,"St. Clair County, AL"
CN0111700000000,1,117,"Shelby County, AL"
CN0111900000000,1,119,"Sumter County, AL"
CN0112100000000,1,121,"Talladega County, AL"
CN0112300000000,1,123,"Tallapoosa County, AL"
CN0112500000000,1,125,"Tuscaloosa County, AL"
CN0112700000000,1,127,"Walker County, AL"
CN0112900000000,1,129,"Washington County, AL"
CN0113100000000,1,131,"Wilcox County, AL"
CN0113300000000,1,133,"Winston County, AL"
CN0201300000000,2,13,"Aleutians East Borough, AK"
CN0201600000000,2,16,"Aleutians West Census Area, AK"
CN0202000000000,2,20,"Anchorage Borough/municipality, AK"
CN0205000000000,2,50,"Bethel Census Area, AK"
CN0206000000000,2,60,"Bristol Bay Borough, AK"
CN0206800000000,2,68,"Denali Borough, AK"
CN0207000000000,2,70,"Dillingham Census Area, AK"
CN0209000000000,2,90,"Fairbanks North Star Borough, AK"
CN0210000000000,2,100,"Haines Borough, AK"
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK"
CN0211000000000,2,110,"Juneau Borough/city, AK"
CN0212200000000,2,122,"Kenai Peninsula Borough, AK"
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK"
CN0215000000000,2,150,"Kodiak Island Borough, AK"
CN0215800000000,2,158,"Kusilvak Census Area, AK"
CN0216400000000,2,164,"Lake and Peninsula Borough, AK"
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK"
CN0218000000000,2,180,"Nome Census Area, AK"
CN0218500000000,2,185,"North Slope Borough, AK"
CN0218800000000,2,188,"Northwest Arctic Borough, AK"
CN0219500000000,2,195,"Petersburg Borough, AK"
CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK"
CN0222000000000,2,220,"Sitka Borough/city, AK"
CN0223000000000,2,230,"Skagway Municipality, AK"
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK"
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK"
CN0227500000000,2,275,"Wrangell Borough/city, AK"
CN0228200000000,2,282,"Yakutat Borough/city, AK"
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK"
CN0400100000000,4,1,"Apache County, AZ"
CN0400300000000,4,3,"Cochise County, AZ"
CN0400500000000,4,5,"Coconino County, AZ"
CN0400700000000,4,7,"Gila County, AZ"
CN0400900000000,4,9,"Graham County, AZ"
CN0401100000000,4,11,"Greenlee County, AZ"
CN0401200000000,4,12,"La Paz County, AZ"
CN0401300000000,4,13,"Maricopa County, AZ"
CN0401500000000,4,15,"Mohave County, AZ"
CN0401700000000,4,17,"Navajo County, AZ"
CN0401900000000,4,19,"Pima County, AZ"
CN0402100000000,4,21,"Pinal County, AZ"
CN0402300000000,4,23,"Santa Cruz County, AZ"
CN0402500000000,4,25,"Yavapai County, AZ"
CN0402700000000,4,27,"Yuma County, AZ"
CN0500100000000,5,1,"Arkansas County, AR"
CN0500300000000,5,3,"Ashley County, AR"
CN0500500000000,5,5,"Baxter County, AR"
CN0500700000000,5,7,"Benton County, AR"
CN0500900000000,5,9,"Boone County, AR"
CN0501100000000,5,11,"Bradley County, AR"
CN0501300000000,5,13,"Calhoun County, AR"
